"","logFC","AveExpr","t","P.Value","adj.P.Val","B","genes"
"HHLA3",0.0395308665457401,2.13485357827395,0.142330316108252,0.887216129916393,0.98992367517171,-5.98905838569389,"HHLA3"
"TOP1MT",-0.070353319999455,2.49292643361293,-0.169312355416879,0.866025142146579,0.988458712841933,-5.98910969417638,"TOP1MT"
"TMEM182",0.280942200463551,4.18388467173694,0.710838102216269,0.479478043469337,0.918305252986723,-5.98914179930908,"TMEM182"
"ANXA6",-0.174061171936572,5.59078441001477,-0.76671779350519,0.44575284672976,0.90611615582881,-5.9891614770315,"ANXA6"
"TAF1A",0.101001425402602,3.27888063571833,0.551187882004566,0.583209175318323,0.949895253102316,-5.98919135966215,"TAF1A"
"TRIM52-AS1",-0.168966102087987,2.37505838311891,-0.415709097408325,0.678857699689475,0.970454456347644,-5.98924151733358,"TRIM52-AS1"
"DHODH",0.0705158048792916,2.2165273353902,0.257587998326721,0.79745873749738,0.984634607367934,-5.98945387172677,"DHODH"
"ABCF1",-0.186146743860191,5.56655348489218,-0.752541632105405,0.454175653592959,0.908794512947036,-5.98953050634765,"ABCF1"
"PNKD",0.274172825717994,4.47977463448044,0.634929380141245,0.527484490983122,0.931418299107996,-5.98955355359282,"PNKD"
"ITPRID2",0.158061677902672,5.82430314122548,0.751625543701638,0.454723083836013,0.908794512947036,-5.98957676476385,"ITPRID2"
"C5orf63",0.0937228997045392,2.29992110125499,0.138617580306295,0.890139055534686,0.98992367517171,-5.98969966064948,"C5orf63"
"PPP1R3B",0.280961007676717,4.55478341187171,0.693493886700596,0.490228052734708,0.920943449138212,-5.98973226207693,"PPP1R3B"
"TMEM160",0.313859606649634,3.30435787797911,0.494142062957731,0.62271009108092,0.96174496022929,-5.99004016775373,"TMEM160"
"TMEM150A",0.151405602563198,3.07026115366736,0.491196555552613,0.624779491268024,0.962215738145298,-5.99014880062494,"TMEM150A"
"IGSF6",-1.44278047417205e-05,2.51457715305819,-2.43371389128752e-05,0.999980648991782,0.999994370378902,-5.99018302063469,"IGSF6"
"UBALD2",-0.0926585343232309,3.61093381197552,-0.163365969522029,0.870687398820596,0.988458712841933,-5.99021793105459,"UBALD2"
"PPP1R26",0.0475064045531881,1.98917033019505,0.144392622165649,0.885593337626069,0.98992367517171,-5.99024216983877,"PPP1R26"
"SIRT2",0.177112019201858,5.42351408895718,0.746883609390376,0.457562797817862,0.909373455027901,-5.99034153412182,"SIRT2"
"ABHD17B",0.196438354205109,5.28496777302262,0.686940562684199,0.49432402015395,0.922678397091776,-5.99035587614475,"ABHD17B"
