"","logFC","AveExpr","t","P.Value","adj.P.Val","B","genes","comparison"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.BRF2",-1.99390182325949,1.73938212408134,-7.58797217030888,7.76712288725461e-11,6.95916853998823e-09,14.4486699381543,"BRF2","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.ZMAT2",-2.10660673289964,4.02696473999845,-7.57973331677511,8.04968764657423e-11,7.0798070210936e-09,14.4124961590261,"ZMAT2","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.DYNLRB1",-2.31410086500023,4.99928576150063,-7.58227130713366,7.96156771931513e-11,7.0798070210936e-09,14.4081100848177,"DYNLRB1","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.ARPC5L",-1.91302421771722,4.45834752967817,-7.57732255963393,8.13429041196056e-11,7.0798070210936e-09,14.4035904993037,"ARPC5L","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.JTB",-2.69001863072383,4.87837395299036,-7.57990290375559,8.05555177110541e-11,7.0798070210936e-09,14.3950387171865,"JTB","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.LAMTOR2",-2.85882109771022,3.7563542655075,-7.57425765828143,8.2433076401953e-11,7.0798070210936e-09,14.3931855617193,"LAMTOR2","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.CKS1B",-2.65482615106097,2.933871734787,-7.57269829576154,8.29906297521884e-11,7.0798070210936e-09,14.3905665238234,"CKS1B","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.GTF2A2",-2.2360031609334,4.68875127514222,-7.57409751551294,8.2488576385994e-11,7.0798070210936e-09,14.3762958677069,"GTF2A2","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.HIGD2A",-3.29010684797874,4.28206596442848,-7.57428008554105,8.29361178208758e-11,7.0798070210936e-09,14.3757255082372,"HIGD2A","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.SLC39A6",-2.24559609094965,4.78400638786872,-7.57375567899723,8.26109503275801e-11,7.0798070210936e-09,14.3653594263955,"SLC39A6","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
